Date,NASDQUE,DJIA
2012-05-03,4891.799805,13206.58984
2012-05-04,4914.540039,13038.26953
2012-05-07,4869.850098,13008.53027
2012-05-08,4869.290039,12932.08984
2012-05-09,4846.620117,12835.05957
2012-05-10,4766.790039,12855.04004
2012-05-11,4773.5,12820.59961
2012-05-14,4768.859863,12695.34961
2012-05-15,4821.660156,12632
2012-05-16,4808.870117,12598.54981
2012-05-17,4795.649902,12442.49023
2012-05-18,4774.990234,12369.37988
2012-05-21,4763.970215,12504.48047
2012-05-22,4728.669922,12502.80957
2012-05-23,4750.279785,12496.15039
2012-05-24,4748.470215,12529.75
2012-05-25,4662.160156,12454.83008
2012-05-29,4674.379883,12580.69043
2012-05-30,4648.819824,12419.86035
2012-05-31,4708.25,12393.4502
2012-06-01,4717.02002,12118.57031
2012-06-04,4707.419922,12101.45996
2012-06-05,4703.419922,12127.9502
2012-06-06,4689.600098,12414.79004
2012-06-07,4557.950195,12460.95996
2012-06-08,4590.470215,12554.2002
2012-06-11,4582.200195,12411.23047
2012-06-12,4542.609863,12573.79981
2012-06-13,4503.580078,12496.37988
2012-06-14,4570.609863,12651.91016
2012-06-15,4504.430176,12767.16992
2012-06-18,4487.540039,12741.82031
2012-06-19,4534.060059,12837.33008
2012-06-20,4435.959961,12824.38965
2012-06-21,4337.509766,12573.57031
2012-06-22,4266.839844,12640.78027
2012-06-25,4283.589844,12502.66016
2012-06-26,4268.759766,12534.66992
2012-06-27,4283.75,12627.00977
2012-06-28,4363.140137,12602.25977
2012-06-29,4509.560059,12880.08984
2012-07-02,4504.240234,12871.38965
2012-07-03,4516.950195,12943.66016
2012-07-05,4620.370117,12896.66992
2012-07-06,4613.950195,12772.46973
2012-07-09,4506.680176,12736.29004
2012-07-10,4468.169922,12653.12012
2012-07-11,4567.669922,12604.53027
2012-07-12,4518.490234,12573.26953
2012-07-13,4591.180176,12777.08984
2012-07-16,4472.060059,12727.20996
2012-07-17,4471.689941,12805.54004
